Name,Symbol,Exchange,Year,First Day High,LTP,Deviation %,Recovered High
WeWork India Management,WEWORK,BSE,2025,650.15,649.9,-0.04,No
Tata Capital,TATACAP,NSE,2025,333.0,337.1,1.23,No
Smartworks Coworking Spaces,SMARTWORKS,BSE,2025,469.25,471.1,0.39,No
Scoda Tubes,SCODATUBES,NSE,2025,147.0,141.79,-3.54,No
Schloss Bangalore,THELEELA,NSE,2025,438.9,455.8,3.85,No
Sambhv Steel Tubes,SAMBHV,NSE,2025,111.0,107.64,-3.03,No
Saatvik Green Energy,SAATVIKGL,NSE,2025,465.0,477.9,2.77,No
Quadrant Future Tek,QUADFUTURE,NSE,2025,444.0,430.4,-3.06,No
Om Freight Forwarders,OMFREIGHT,NSE,2025,85.57,82.3,-3.82,No
ICICI Prudential Asset Management Co.,HDFCAMC,BSE,2025,2663.4,2711.5,1.81,No
Gujarat Kidney & Super Speciality,GKSL,BSE,2025,123.0,127.95,4.02,No
Euro Pratik Sales,EUROPRATIK,NSE,2025,278.0,276.4,-0.58,No
Anthem Biosciences,ANTHEM,NSE,2025,747.0,767.5,2.74,No
Aegis Vopak Terminals,AEGISVOPAK,NSE,2025,242.0,238.08,-1.62,No
Vishal Mega Mart,VMM,NSE,2024,114.4,118.77,3.82,No
TBO Tek,TBOTEK,NSE,2024,1455.95,1455.6,-0.02,No
Sanathan Textiles,SANATHAN,NSE,2024,423.0,414.35,-2.04,No
Platinum Industries,PLATIND,NSE,2024,236.25,230.33,-2.51,No
Niva Bupa Health Insurance Co.,NIVABUPA,BSE,2024,80.94,84.62,4.55,Yes
Kronox Lab Sciences,KRONOX,NSE,2024,165.6,158.07,-4.55,No
Hyundai Motor India,HYUNDAI,NSE,2024,1970.0,1976.7,0.34,No
EPACK Durable,EPACK,NSE,2024,224.5,231.24,3.0,No
SBFC Finance,SBFC,NSE,2023,95.45,92.16,-3.45,No
